GeogPoint,City,County,ISO_3166_2,ISO_A3,LocalDate,LocalHour,ProbabilityofPrecipitation,ProbabilityofSnow
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,13,0.017,0.082
POINT(-80.48583984375 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,14,0.023,0.133
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,11,0.024,0.549
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,04,0.017,0.998
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,13,0.017,0.066
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,06,0.017,1
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,12,0.017,0.461
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,15,0.017,0.229
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,05,0.017,0.999
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,09,0.017,0.998
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,14,0.017,0.165
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,10,0.017,0.978
POINT(-80.44189453125 43.43994140625),Kitchener,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,09,0.017,0.998
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,12,0.017,0.291
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,14,0.017,0.036
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,15,0.017,0.084
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,13,0.017,0.039
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,10,0.017,0.985
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,07,0.017,1
POINT(-80.39794921875 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,11,0.017,0.55
POINT(-80.35400390625 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,12,0.017,0.101
POINT(-80.35400390625 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,13,0.017,0.053
POINT(-80.35400390625 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,10,0.017,0.991
POINT(-80.35400390625 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,09,0.017,1
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,05,0.017,1
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,13,0.017,0.196
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,15,0.017,0.085
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,12,0.017,0.194
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,10,0.017,0.971
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,11,0.017,0.508
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,14,0.017,0.03
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,09,0.017,0.999
POINT(-80.31005859375 43.43994140625),Cambridge,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,14,0.017,0.069
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,15,0.017,0.108
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,11,0.017,0.862
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,09,0.017,0.998
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,13,0.017,0.101
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,12,0.017,0.429
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,05,0.017,1
POINT(-80.26611328125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,10,0.017,0.984
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,11,0.017,0.856
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,14,0.017,0.075
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,15,0.017,0.084
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,12,0.017,0.164
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,10,0.017,0.982
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,09,0.017,0.999
POINT(-80.22216796875 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,13,0.017,0.063
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,12,0.017,0.237
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,07,0.017,1
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,10,0.017,0.981
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,13,0.017,0.07
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,11,0.017,0.782
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,09,0.017,0.998
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,14,0.017,0.107
POINT(-80.17822265625 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,15,0.017,0.075
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,15,0.017,0.084
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,10,0.017,0.973
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,09,0.017,0.998
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,14,0.017,0.087
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,13,0.017,0.05
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,12,0.017,0.183
POINT(-80.13427734375 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,11,0.017,0.795
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,12,0.017,0.212
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,08,0.017,1
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,09,0.017,0.994
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,10,0.017,0.936
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,07,0.017,1
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,11,0.017,0.718
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,15,0.017,0.07
POINT(-80.09033203125 43.43994140625),Puslinch,,CA-ON,CAN,2021-01-09,14,0.017,0.055
POINT(-80.04638671875 43.43994140625),Hamilton,,CA-ON,CAN,2021-01-09,07,0.017,1
POINT(-79.82666015625 43.43994140625),Milton,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-79.82666015625 43.43994140625),Milton,,CA-ON,CAN,2021-01-09,14,0.017,0.039
POINT(-79.78271484375 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,14,0.017,0.007
POINT(-79.78271484375 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,12,0.017,0.208
POINT(-79.78271484375 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,06,0.017,0.992
POINT(-79.78271484375 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,07,0.017,0.998
POINT(-79.78271484375 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,10,0.017,0.734
POINT(-79.78271484375 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,11,0.017,0.571
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,02,0.017,0.999
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,15,0.017,0.028
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,14,0.017,0.019
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,13,0.017,0.084
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,12,0.017,0.157
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,10,0.017,0.738
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,07,0.017,0.996
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,09,0.017,0.948
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,08,0.017,0.991
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,06,0.017,0.993
POINT(-79.73876953125 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,11,0.017,0.31
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,07,0.017,0.996
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,10,0.017,0.709
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,14,0.017,0.023
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,15,0.017,0.012
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,06,0.017,0.996
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,09,0.017,0.967
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,08,0.017,0.987
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,13,0.017,0.062
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,02,0.017,0.999
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,12,0.017,0.131
POINT(-79.69482421875 43.43994140625),Oakville,,CA-ON,CAN,2021-01-09,11,0.017,0.316
POINT(-92.83447265625 49.76806640625),Dryden,,CA-ON,CAN,2021-01-09,13,0.017,1
POINT(-79.91455078125 43.79150390625),Caledon,,CA-ON,CAN,2021-01-09,06,0.017,1
POINT(-79.87060546875 43.79150390625),Caledon,,CA-ON,CAN,2021-01-09,06,0.017,1
POINT(-79.73876953125 43.79150390625),Brampton,,CA-ON,CAN,2021-01-09,11,0.017,0.972
POINT(-79.73876953125 43.79150390625),Brampton,,CA-ON,CAN,2021-01-09,13,0.017,0.863
POINT(-79.69482421875 43.79150390625),Brampton,,CA-ON,CAN,2021-01-09,15,0.017,0.004
POINT(-79.69482421875 43.79150390625),Brampton,,CA-ON,CAN,2021-01-09,11,0.017,0.982
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,13,0.017,0.082
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,12,0.017,0.382
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,09,0.017,0.995
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,15,0.017,0.056
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,10,0.017,0.968
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,11,0.031,0.972
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,08,0.017,0.999
POINT(-79.65087890625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,14,0.017,0.035
POINT(-79.60693359375 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,09,0.017,0.997
POINT(-79.60693359375 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,13,0.017,0.185
POINT(-79.60693359375 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,14,0.017,0.106
POINT(-79.60693359375 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,12,0.017,0.84
POINT(-79.60693359375 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,08,0.017,0.998
POINT(-79.60693359375 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,10,0.017,0.975
POINT(-79.60693359375 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,11,0.017,0.974
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,06,0.017,1
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,14,0.017,0.12
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,15,0.017,0.131
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,11,0.017,0.929
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,10,0.017,0.984
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,09,0.017,0.995
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,12,0.017,0.557
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,07,0.017,0.999
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,08,0.017,0.998
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,13,0.017,0.226
POINT(-79.56298828125 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,05,0.017,0.999
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,12,0.017,0.62
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,02,0.017,0.998
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,10,0.017,0.985
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,13,0.017,0.419
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,01,0.017,0.997
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,07,0.017,0.998
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,04,0.017,0.998
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,14,0.017,0.134
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,09,0.017,0.993
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,08,0.017,0.997
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,11,0.017,0.92
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,06,0.017,0.999
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,03,0.017,0.999
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,05,0.017,0.998
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,15,0.017,0.165
POINT(-79.51904296875 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,00,0.017,0.999
POINT(-79.47509765625 43.79150390625),Vaughan,,CA-ON,CAN,2021-01-09,12,0.017,0.51
